#target	sample	rep1
k13_561	DOCW-CHZ-037-2021-MSMT-1	DOCW-CHZ-037-2021-MSMT-1
k13_561	DOCH-MPD-045-2021-MSMT-1	DOCH-MPD-045-2021-MSMT-1
k13_561	DOCW-LOJ-011-2021-MSMT-1	DOCW-LOJ-011-2021-MSMT-1
k13_561	DOCW-CHZ-025-2021-MSMT-1	DOCW-CHZ-025-2021-MSMT-1
k13_561	DOCH-MPD-069-2021-MSMT-1	DOCH-MPD-069-2021-MSMT-1
k13_561	DOMP-CHP-041-2021-MSMT-1	DOMP-CHP-041-2021-MSMT-1
k13_561	DOCW-CHZ-053-2021-MSMT-1	DOCW-CHZ-053-2021-MSMT-1
k13_561	DOKG-MLL-059-2021-MSMT-1	DOKG-MLL-059-2021-MSMT-1
k13_561	DOCW-CHZ-055-2021-MSMT-1	DOCW-CHZ-055-2021-MSMT-1
k13_561	DOCH-MPD-032-2021-MSMT-1	DOCH-MPD-032-2021-MSMT-1
k13_561	DOCW-CHZ-027-2021-MSMT-1	DOCW-CHZ-027-2021-MSMT-1
k13_561	DOMP-RUD-005-2021-MSMT-1	DOMP-RUD-005-2021-MSMT-1
k13_561	DOCH-MPD-041-2021-MSMT-1	DOCH-MPD-041-2021-MSMT-1
k13_561	DOBA-LUK-141-2021-MSMT-1	DOBA-LUK-141-2021-MSMT-1
k13_561	DOCW-CHZ-008-2021-MSMT-1	DOCW-CHZ-008-2021-MSMT-1
k13_561	DOMP-CHP-022-2021-MSMT-1	DOMP-CHP-022-2021-MSMT-1
k13_561	DOMP-CHP-054-2021-MSMT-1	DOMP-CHP-054-2021-MSMT-1
k13_561	DOMP-CHP-025-2021-MSMT-1	DOMP-CHP-025-2021-MSMT-1
k13_561	DOMP-CHP-063-2021-MSMT-1	DOMP-CHP-063-2021-MSMT-1
k13_561	DOCW-NHH-011-2021-MSMT-1	DOCW-NHH-011-2021-MSMT-1
k13_561	KGMU-NSB-321-2021-MSMT-1	KGMU-NSB-321-2021-MSMT-1
k13_561	KGKA-BKG-268-2021-MSMT-1	KGKA-BKG-268-2021-MSMT-1
k13_561	KGNG-CVU-171-2021-MSMT-1	KGNG-CVU-171-2021-MSMT-1
k13_561	KGMU-NSB-030-2021-MSMT-1	KGMU-NSB-030-2021-MSMT-1
k13_561	KGKY-RUG-067-2021-MSMT-1	KGKY-RUG-067-2021-MSMT-1
k13_561	KGMU-NSB-025-2021-MSMT-1	KGMU-NSB-025-2021-MSMT-1
k13_561	KGKA-BKG-110-2021-MSMT-1	KGKA-BKG-110-2021-MSMT-1
k13_561	KGKY-RWB-035-2021-MSMT-1	KGKY-RWB-035-2021-MSMT-1
k13_561	KGMU-NSB-148-2021-MSMT-1	KGMU-NSB-148-2021-MSMT-1
k13_561	KGNG-CVU-022-2021-MSMT-1	KGNG-CVU-022-2021-MSMT-1
k13_561	KGKY-RBKG-153-2021-MSMT-1	KGKY-RBKG-153-2021-MSMT-1
k13_561	KGKA-BKG-199-2021-MSMT-1	KGKA-BKG-199-2021-MSMT-1
